Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Hungary,HUN,..,8155842000000,32368841000000,33705540000000,35039951000000,36127759000000,37542369000000,39745160000000,46476273000000,47986201000000,49810685000000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Iceland,ISL,112783900000,413376377000,2833203782284,2712261449186,2596520731849,2389506628000,2331049748000,2726945409043,2938429123513,3142495600032,3358471293176,3502575134777.1
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,India,IND,2925670000000,11770280000000,62216270000000,68810780000000,73316300000000,81320590000000,87925980000000,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Indonesia,IDN,89469000000000,..,2.8983835979861E+15,3.49353074741508E+15,3.88994981323898E+15,4.4070536976047E+15,4.91747756121582E+15,5.34022158618682E+15,6.625475985591E+15,7.53832563641402E+15,8.88056552977693E+15,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Iraq,IRQ,..,..,..,53326799369478,58045493579438.3,79495987051495.8,73786628554876.2,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Ireland,IRL,..,41382670000,236478462000,232910710000,230600205000,228260660000,245636308000,248063233000,267563270000,279262512000,236505993000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Israel,ISR,165199000000,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Jamaica,JAM,45771510000,380640700000,2041693750000,2068759180000,2159937054848.86,1941710900000,..,1946799489483.2,2090497753634.23,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Japan,JPN,239932000000000,529709200000000,996702600000000,1.0469251E+15,1.0518781E+15,1.0701363E+15,1.0984294E+15,1.1047209E+15,1.1646661E+15,1.1953742E+15,1.2101681E+15,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Jordan,JOR,3556150000,5621440000,20331400000,21605500000,20979900000,22268900000,..,25070700000,23570200000,..,34937600000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Kazakhstan,KAZ,..,..,5017790536000,7893874198000,7876791900000,9206535443000,13595498918000,12851748000000,16754955511000,18815263949000,22158901251000,24946537126950
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Korea, Rep.",KOR,14927000000000,..,570473174969116,621640877442310,662636705078292,685608222944530,712878439713666,769211885817289,901110161116171,1.01836697201299E+15,1.10637712473624E+15,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Kyrgyz Republic,KGZ,..,..,215931300000,311917800000,288054200000,323156400000,294126300000,335722600000,434708207000,441235232900,480622500000,540720670000
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Lesotho,LSO,..,..,8747000000,9977000000,13081800000,11484900000,11111100000,11111100000,1011600000,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Lithuania,LTU,..,4364994000,17680483000,18540530000,18562779000,19003241000,17524770000,20618830000,26365010000,27228380000,24309850000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Luxembourg,LUX,266783011.36096,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Malawi,MWI,..,..,1044137600000,1259062000000,2151680949747.66,2239858619962.69,3017026009047.64,3690159449119.26,..,..,6558295576000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Malaysia,MYS,94713000000,..,582828241000,630540000000,648474726000,686836648475.93,741049014484.13,792997555813.07,879559708809.62,979814000000,1079591000000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Maldives,MDV,632300000,3002900000,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Malta,MLT,884597589.48649,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Marshall Islands,MHL,..,..,91886514,87231108,97510869,101994768,96801972,96801972,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Mauritius,MUS,15638100000,39315000000,..,..,..,265547000000,276935000000,296826300000,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Mexico,MEX,342615000000,1276451000000,..,..,..,..,..,10382194912998.5,11040730765570.8,11973404083379.5,12982200844943,14380620046591.1
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"Micronesia, Fed. Sts.",FSM,..,..,74676687,94767029,84368040,113434021,92896027,95156690,103650413,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Moldova,MDA,..,11697300000,27799600000,34210400000,51276800000,52216957182.3459,52012600000,52494300000,67820721200,77752700000,94660042340.5395,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Mongolia,MNG,..,959889000000,..,..,..,..,21493233782004,23022913305601.5,27691747098647.3,29430882607442.9,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Morocco,MAR,216905000000,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Mozambique,MOZ,..,..,..,..,701991675236.984,662126083817.354,737016117758.775,765354353698.47,1002617878400,890752470000,924011177000,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Nepal,NPL,54418100000,245048000000,..,..,..,..,..,1226258000000,1518482900000,1737636800000,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Netherlands,NLD,144152361245.354,..,..,..,..,..,..,..,..,..,..,..
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
