Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Hungary,HUN,1184510086.63983,11217315165.5179,42019881301.2031,33124288325.6273,25824253667.337,28002680652.4484,31366581856.0416,31831003374.707,41349416012.5512,43483375179.1178,41218685384.2451,45718623573.4135
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Iceland,ISL,454982426.128523,405074266.016599,4177067541.46937,5040573412.30604,7225621330.32653,6566175919.51031,6321213331.79507,6782387111.82889,6419314385.06349,7078849095.85852,5887412717.94843,5808710368.479
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,India,IND,5637446363.83185,41059061574.6632,325081035127.891,353319061013.224,361694321972.036,412613792019.924,399167159226.682,463469902152.507,590227359928.896,638484779930.836,567298153917.14,627792750126.715
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Indonesia,IDN,8656792855.20195,29352929561.4768,111862594561.997,105928847088.719,116369601851.059,130215330382.957,120660974090.95,129186464020.188,135915917616.263,144907809744.209,137222356128.227,146358992701.848
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Iraq,IRQ,6744700000,6744700000,66281655807.2322,53992019678.9023,45298562240.8151,49315419400.3988,64719421423.3098,68017647833.6447,54424472658.0154,64231022302.7097,97009236971.5221,112232897713.46
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Ireland,IRL,5361690181.89384,5407973929.95672,1749390343.43074,2203153449.1223,3589332627.17955,4412516406.92309,5222681912.93715,5732541811.18074,7463044894.51105,13246996093.19,13039213740.6945,12904794778.1845
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Israel,ISR,6598156851.73066,23281206067.5375,86101256622.4878,90575018408.045,95446290281.5568,113009532488.062,115265900520.851,126007828810.341,173292120893.254,212933655186.265,194231433877.693,204660857567.016
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Italy,ITA,88595441116.0035,47201146787.795,142756493254.503,130592432979.515,135133283786.776,151120440050.073,152361936421.553,175397954131.108,210687330553.17,227478327159.257,224580577612.139,247396384253.983
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Jamaica,JAM,168155250.316541,1053690047.86883,2473010904.82091,2913835195.89151,3291468022.15921,3781167558.10295,3532039680.05605,3631089258.40452,3938028780.65402,4837564537.17809,4520481084.67503,4868643492.7225
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,Japan,JPN,87828344748.001,361639097011.665,1260680310062.82,1233097790281.8,1216518779919.68,1264140980383.63,1270467038786.78,1322443255598.64,1390808939303.36,1405748991418.92,1227573263129.26,1294636035263.82
